"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00133651","Support Team","","Andriy Feshchyn","Adams Golf","Adams Golf: Minor design change","","","","5/11/2012","","Awaiting Client Response","","0.000","2.000"
"00132899","Support Team","","Andriy Feshchyn","Bare Necessities","Product Families","","Invalid","","5/9/2012","","In Progress","","0.000","2.000"
"00132521","Support Team","","Andriy Feshchyn","DrJays.com","Update the look and feel of the review and A&A summary widgets on the PDP","","Minor UI Change","","5/10/2012","C1","In Progress","","0.000","4.000"
"00132106","Support Team","","Andriy Feshchyn","Bazaarvoice UK","socialcommercesummit NEXT button issue","","Invalid","","4/24/2012","C4","Closed","","0.000","4.000"
"00131802","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI set up for Panasonic","","SCI","","4/25/2012","C4","Closed","","1.000","8.000"
"00131627","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Linux Environment Setup","","Invalid","","5/8/2012","C4","In Progress","","8.000","26.000"
"00130942","Support Team","","Andriy Feshchyn","Bazaarvoice UK","PIE Submission Link Investigation for Aer1","","Invalid","","4/17/2012","C4","Closed","","0.000","5.000"
"00130702","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Please implement SCI for Lysol","5.4.0","SCI","","4/3/2012","C4","Closed","","0.000","4.000"
"00129924","Strategic  Integration","UI Migration","Andriy Feshchyn","Oregon Mountain Community","oregonmountaincommunity UI migration","","","","4/25/2012","","Closed","","0.000","8.000"
"00129851","Support Team","","Andriy Feshchyn","Bazaarvoice UK","Schedule SCI for Men's Wearhouse","","SCI","","3/27/2012","C4","Closed","","0.000","3.000"
"00129306","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI for ExtraStorage Space is not working","","SCI","","3/13/2012","C4","Closed","","0.000","1.000"
"00128685","Support Team","","Andriy Feshchyn","Bazaarvoice UK","SCI for tripplite","5.2.2","SCI","","3/16/2012","C4","Closed","","0.500","1.000"
