"Case Number","Case Record Type","Case Type","Implementer","Account Name","Subject","Release Target","Complexity Cause (SE)","Release Actual","Case Last Modified Date","Cluster","Status","Time Estimate","Time Spent - Communication","Time Spent - Engineering"
"00132106","Support Team","","Andriy Feshchyn","Bazaarvoice","socialcommercesummit NEXT button issue","","Invalid","","4/24/2012","C4","Closed","","0.000","4.000"
"00131802","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI set up for Panasonic","","SCI","","4/25/2012","C4","Closed","","1.000","8.000"
"00131627","Support Team","","Andriy Feshchyn","Bazaarvoice","Linux Environment Setup","","Invalid","","5/2/2012","C4","In Progress","","8.000","25.000"
"00130942","Support Team","","Andriy Feshchyn","Bazaarvoice","PIE Submission Link Investigation for Aer1","","Invalid","","4/17/2012","C4","Closed","","0.000","5.000"
"00130702","Support Team","","Andriy Feshchyn","Bazaarvoice","Please implement SCI for Lysol","5.4.0","SCI","","4/3/2012","C4","Closed","","0.000","4.000"
"00129924","Strategic  Integration","UI Migration","Andriy Feshchyn","Oregon Mountain Community","oregonmountaincommunity UI migration","","","","4/25/2012","","Closed","","0.000","8.000"
"00129851","Support Team","","Andriy Feshchyn","Bazaarvoice","Schedule SCI for Men's Wearhouse","","SCI","","3/27/2012","C4","Closed","","0.000","3.000"
"00129306","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for ExtraStorage Space is not working","","SCI","","3/13/2012","C4","Closed","","0.000","1.000"
"00128685","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for tripplite","5.2.2","SCI","","3/16/2012","C4","Closed","","0.500","1.000"
"00127582","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for ExtraStorage Space","","SCI","","3/4/2012","C4","Closed","","0.500","1.500"
"00127581","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for Bissell","","SCI","","3/4/2012","C4","Closed","","0.500","1.500"
"00127332","Strategic  Integration","UI Migration","Andriy Feshchyn","Bazaarvoice","Entirelypets UI 4.7 to 5.1","future","","","3/27/2012","C4","Closed","2.00","0.000","5.000"
"00127095","Strategic  Integration","Other","Andriy Feshchyn","Bazaarvoice","PIE issue Investigation","5.2.2","","","3/27/2012","C4","Closed","","3.000","38.000"
"00126591","Support Team","","Andriy Feshchyn","Bazaarvoice","Dollartree Staging URL Update","5.1.5","Integration Fix","","3/4/2012","C4","Closed","","0.500","0.500"
"00126176","Strategic  Integration","UI Migration","Andriy Feshchyn","Lloyds Pharmacy","LLoydsPharmacy UI migration","5.2.2","","","3/27/2012","","Closed","","0.000","8.000"
"00126173","Support Team","","Andriy Feshchyn","Bazaarvoice","SCI for Clarins UK, FR and US","5.1.4","SCI","","3/4/2012","C4","Closed","1.50","0.000","3.000"
"00126172","Support Team","","Andriy Feshchyn","Bazaarvoice","PetSmart SCI","5.1.4","SCI","","3/4/2012","C4","Closed","1.50","2.000","0.000"
